ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
0451403967,devoted,alice borchardt,1996,signet
0380818957,first comes love avon light contemporary romances,christie ridgway,2002,avon
0345423658,the wolf king,alice borchardt,2001,del rey
0743410262,educating caroline sonnet books,patricia cabot,2001,pocket
0446671339,the quiet room : a journey out of the torment of madness,lori schiller,1996,warner
8483101319,la ignorancia,milan kundera,2000,tusquets editores
1551669285,the soul catcher maggie odell novels hardcover,alex kava,2002,mira
0385313861,going native,stephen wright,1995,dell
2070381161,cest beau une ville la nuit,richard bohringer,1989,folio
0515104531,physical evidence,arthur lyons,1990,jove
0553290266,golden orange,joseph wambaugh,1991,bantam
0446605956,the spirit caller molly bearpaw mysteries,jean hager,1998,warner
0812508424,shadows linger : a novel of the black company chronicles of the black company,glen cook,1990,tor
0812555333,she is the darkness : book two of glittering stone: a novel of the black company chronicles of the black company,glen cook,1998,tor fantasy
0441007880,scions lady gil trilogy book,rebecca bradley,2000,ace
0451458842,the glasswrights journeyman,mindy l klasky,2002,roc
0373291108,lady of the keep harlequin historical,sharon schulze,2000,harlequin
0590630938,the dragonslayers apprentice point fantasy,david calder,1998,scholastic
0152099905,the borrowers,mary norton,1989,odyssey
0671021184,spying eyes: sabrina the teenage witch,nancy holder,1998,simon spotlight entertainment
0330301497,madwomans underclothes essays and occasion,germaine greer,1987,pan
0446677698,one virgin too many,lindsey davis,2001,mysterious
0425105695,the moving finger miss marple mysteries paperback,agatha christie,1994,berkley
0061013722,the clairvoyant,marian thurm,1999,harpertorch
0671493183,doggies boynton board books simon schuster,sandra boynton,1984,little simon
0679882812,dr seusss abc: an amazing alphabet book bright and early board book,dr seuss,1996,random house for young readers
0394900189,are you my mother beginner books,p d eastman,1966,random house for young readers
0393318451,the universal donor norton paperback fiction,craig nova,1998,w. w. norton & company
0937295078,meet molly: an american girl the american girls collection,valerie tripp,1986,pleasant company
0843105550,gnome from nome serendipity,stephen cosgrove,1978,price stern sloan
0312423187,dancer : a novel,colum mccann,2004,picador
0553581651,die upon a kiss,barbara hambly,2002,bantam
0553240633,right stuff,tom wolfe,1983,bantam doubleday dell
0684841215,something happened,joseph heller,1997,simon & schuster
3746616360,das puppenkind,eva maaser,2000,aufbau tb
0060520515,the other side of the story : a novel keyes marian,marian keyes,2004,william morrow
0345455916,the probable future ballantine readers circle,alice hoffman,2004,ballantine
0553281437,rose of the prophet volume iii: the prophet of akhran,margaret weis,1991,bantam
0553276387,will of the wanderer will of the wanderer,margaret weis,1989,bantam
059041691X,dinosaur jokes,phil hirsch,1988,scholastic
0883964201,gifts id like to give to you: a guidebook of wonderful thoughts to carry along on your journey through life selfhelp,douglas pagels,1995,blue mountain arts
1881273628,the five love languages: how to express heartfelt commitment to your mate,gary d chapman,1996,northfield
0736905324,the power of a praying husband,stormie omartian,2001,harvest house
0722150954,unsuitable job for a woman,p d james,1987,sphere limited
1552780724,just a minute more glimpses of our great canadian heritage,marsha boulton,1999,mcarthur & company
0786813709,fab five: dont make a scene mum book fab no,rosie rushton,1999,hyperion for children
0915473569,planning your pregnancy and birth third edition,the american college of obstetricians an,2000,american college of obstetricians & gynecolog
3518383973,eva luna,isabel allende,2003,suhrkamp
227724113X,la prophaaatie des andes,james redfield,2000,j'ai lu
0679759328,hotel du lac vintage contemporaries,anita brookner,1995,vintage
0385487398,welcome to my country: journeys into the world of a therapist and her patients,lauren slater,1997,anchor
0689832923,what do you know about manners,cynthia macgregor,2000,meadowbrook
0330352091,cauldron uk,colin forbes,2000,pan
0553299328,sixteen and dying one last wish,lurlene mcdaniel,1992,bantam
0156006243,the history of the siege of lisbon,jose saramago,1998,harvest
0345396456,the good husband ballantine readers circle,gail godwin,1995,ballantine
0385720327,in my hands: memories of a holocaust rescuer,irene gut opdyke,2001,anchor /doubleday
0374521956,one day in the life of ivan denisovich,aleksandr solzhenitsyn,1992,"farrar, straus and giroux"
0889951926,a fine daughter fiction,catherine simmons niven,1999,red deer
0771079567,cinnamon gardens,shyam selvadurai,1999,emblem editions
0671439162,white hotel,d m thomas,1982,pocket
0425166090,girls rule girls rule no,kris lowe,1998,berkley
0061013579,cash: the autobiography,johnny cash,1998,harpersanfrancisco
0316592382,fearless jones,walter mosley,2001,"little, brown"
0316955191,the hope: a novel,herman wouk,1993,little brown and company
0553271105,shane,jack schaefer,1983,bantam
8807811987,baol una tranquilla notte di regime fiction poetry and drama,benni,1994,feltrinelli
8433914553,erecciones eyaculaciones exhibiciones,charles bukowski,1995,anagrama
9681336089,vivir para contarla to live to tell it spanish,gabriel garcia marques,2002,diana
0375700668,a samba for sherlock,jo soares,1998,vintage
0743204239,lo es : una memoria,frank mccourt,2000,fireside
0805041508,last rites: a novel harvey john charles resnick novels,john harvey,1999,henry holt & company
8433914871,pulp,charles bukowski,1997,anagrama
0380794772,in a dry season,peter robinson,2000,avon
0385488424,sunset limited,james lee burke,1998,bantam dell
0553099590,guilty as sin,tami hoag,1996,bantam
0751530328,thin air,storm constantine,2002,firebird distributing
0380788632,death takes passage alaska mysteries paperback,sue henry,1998,avon
1551666987,marriage by the book,joan johnston,2003,mira
0446610941,misfortune,nancy geary,2002,warner
0671680080,star trek v: the final frontier,jm dillard,1989,star trek
0312954115,the cheapskate monthly money makeover,mary hunt,1995,st. martin's
0449911462,think and grow rich,napoleon hill,1996,ballantine
0525446052,the big book for peace,lloyd alexander,1990,dutton
0345304659,the nirvana blues,john nichols,1983,ballantine
0425052028,the confessions of phoebe tyler,ruth warrick,1982,berkley
0373710356,valentine place harlequin superromance no,pamela bauer,2002,harlequin
0373710208,zoey phillips girlfriends harlequin superromance no,judith bowen,2001,harlequin
0440918022,dragons blood pit dragons book,jane yolen,1984,laurel-leaf
0671682830,heaven casteel saga paperback,vc andrews,1989,pocket
0609810030,love stories of world war ii,larry king,2002,three rivers
0553573292,bright messengers a novel set in the rama universe,gentry lee,1996,bantam
2910188132,leffet pervers: le naufrage des daamocraties,michel collin,1994,diffusion hachette
8483100959,una mujer dificil,john irving,1999,tusquets
067187876X,armageddon,billie sue mosiman,1998,baen
0743471520,thraxas,martin scott,2003,baen
0028617363,the complete idiots guide to chess,patrick wolff,1997,alpha
0345384229,the transition of h p lovecraft: the road to madness,h p lovecraft,1996,del rey
0671026291,the xander years volume,keith ra decandido,1999,simon spotlight entertainment
3442541425,anderer leute dreck die gewissenhaften aufzeichnungen einer putzfrau,louise rafkin,2000,goldmann
067972205X,the story of a shipwrecked sailor,gabriel garcia marquez,1989,vintage
0671891650,pretty boy floyd,larry mcmurtry,1994,simon & schuster
0786711035,beasts,joyce carol oates,2002,carroll & graf
0385492235,an invisible sign of my own,aimee bender,2000,doubleday
0060185716,triggerfish twist: a novel,tim dorsey,2002,william morrow & company
0671578448,the unlikely ones,mary brown,1999,baen
0375508716,motherhood and hollywood : how to get a job like mine,patricia heaton,2002,villard
0553577778,infinitys shore the uplift saga book,david brin,1997,bantam
0060920335,sure of you,armistead maupin,1990,harpercollins
0451082028,coma,robin cook,1977,penguin putnam~mass
0840775717,the third millenium,paul d meier,1993,westbow
0061009482,the sacrifice of tamar,naomi ragen,1995,harpercollins
0525947736,the darwin awards iii: survival of the fittest,wendy northcutt,2003,dutton
0380711982,katherine: its time : the incredible true story of the multiple personalities of kit castle,kit castle,1990,harper mass market
0452282063,siam or the woman who shot a man: a novel,lily tuck,2000,plume
0446605913,time to depart marcus didius falco mysteries paperback,lindsey davis,1998,warner
0553254642,some buried caesar,rex stout,1994,bantam
0380808641,the death of an irish sinner : a peter mcgarr mystery peter mcgarr mysteries paperback,bartholomew gill,2002,avon
0517150646,the history of the devil and the idea of evil,paul carus,1996,gramercy
325706277X,handbuch des kriegers des lichts,paulo coelho,2001,diogenes verlag
0671676237,the golden chance,jayne ann krentz,1990,pocket
0440224748,four corners of night,craig holden,1999,island
0517692007,poems of love,gail harvey,1991,random house value pub
0140441034,njals saga classics s,magnus magnusson,1966,penguin
0399147837,shadow warriors: inside the special forces,tom clancy,2002,putnam
067943612X,recessional,james a michener,1994,random house
0449902803,unlimited power,anthony robbins,1991,ballantine
0671887971,ring of truth,nancy pickard,2001,atria
0804111626,agatha raisin and the vicious vet agatha raisin mysteries paperback,m c beaton,1994,fawcett
0590481150,gremlins dont chew bubble gum the bailey school kids book,debbie dadey,1995,scholastic
0140060324,white hotel,d m thomas,1982,penguin putnam~
0451451562,the wandering fire the fionavar tapestry book,guy gavriel kay,1997,roc
0451451805,the darkest road the fionavar tapestry book,guy gavriel kay,1994,roc
0380790890,well pleasured lady,christina dodd,1997,avon
0515104191,defcon one,joe weber,1990,jove
1570624380,flatland shambhala pocket classics,edwin abbott,1999,shambhala
1570431108,eckankar: ancient wisdom for today: how past lives dreams and soul travel help you find god,todd cramer,1995,eckankar
0375750002,the portable henry rollins,henry rollins,1998,villard
0425165582,books of blood: volumes one to three,clive barker,1998,berkley
1556618409,sisters of the confederacy secret refuge,lauraine snelling,2000,bethany house
0393308189,ever since darwin: reflections in natural history,stephen jay gould,1992,w. w. norton & company
0446676136,reason for hope : a spiritual journey,jane goodall,2000,warner
0345394658,return to the chateau: preceded by a girl in love,pauline reage,1995,ballantine
0553211951,the complete short stories of mark twain bantam classic,mark twain,1990,bantam
0140367462,the princess and the goblin puffin classics the essential collection,george macdonald,1997,puffin
0764221396,a searching heart prairie legacy no,janette oke,1999,bethany house
0764221566,a quiet strength oke janette prairie legacy,janette oke,1999,bethany house
0679735291,the body project: an intimate history of american girls,joan jacobs brumberg,1998,vintage
3442540356,microsklaven,douglas coupland,1998,goldmann
0590137859,the case of the secret password clue jr,parker c hinter,1997,little apple
0590417363,fourth grade is a jinx,colleen mckenna,1995,scholastic
0380716984,amelia bedelias family album,peggy parish,1994,harpercollins juvenile
0590426877,mystery ranch the boxcar children book,gertrude warner,1989,scholastic
0590426796,lighthouse mystery,gertrude c warner,1990,scholastic
0380732726,ramonas world ramona series,beverly cleary,2001,harpertrophy
0061052493,waking beauty,paul witcover,1997,harpercollins
0684815028,man in the queue,josephine tey,1995,touchstone
0312984863,the impostor : the liars club liars club,celeste bradley,2003,st. martin's
0525947345,a friend of the family,lisa jewell,2003,dutton
848450767X,una rosa para emily y miss zil,william faulkner,2001,debols!llo
055311073X,follow the stars home,luanne rice,2000,bantam dell
